problem,candidate_vertex_graph1,revealed_vertex_graph2,baseline_h0_accuracy,baseline_final_unseeded_accuracy,outcome_h0_accuracy,outcome_final_unseeded_accuracy,outcome_final_all_accuracy,outcome_accuracy_improvement,outcome_success,sgm_runtime_seconds,sgm_n_iter,sgm_converged,sgm_objective_score
sparse_er,0,253,0.0684931506849315,0.3321917808219178,0.061855670103092786,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.2604281670646742,28,True,1560.0
sparse_er,1,28,0.0684931506849315,0.3321917808219178,0.07216494845360824,1.0,1.0,0.6678082191780822,True,0.16267620807047933,17,True,1560.0
sparse_er,2,116,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.872852233676976,0.8766666666666667,0.5406604528550581,False,0.2869004160165787,30,False,1342.0
sparse_er,3,179,0.0684931506849315,0.3321917808219178,0.06529209621993128,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.2632471250835806,28,True,1560.0
sparse_er,4,209,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.20930279209278524,22,True,1560.0
sparse_er,5,172,0.0684931506849315,0.3321917808219178,0.07560137457044673,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.2189966250443831,23,True,1560.0
sparse_er,6,244,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.18261558306403458,19,True,1560.0
sparse_er,7,175,0.0684931506849315,0.3321917808219178,0.07560137457044673,0.13058419243986255,0.15666666666666668,-0.20160758838205525,False,0.26405362493824214,28,True,796.0
sparse_er,8,287,0.0684931506849315,0.3321917808219178,0.07560137457044673,0.16494845360824742,0.19,-0.16724332721367038,False,0.20927379198838025,22,True,822.0
sparse_er,9,236,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.27218362502753735,29,True,1560.0
sparse_er,10,198,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.26546116604004055,28,True,1560.0
sparse_er,11,251,0.0684931506849315,0.3321917808219178,0.07216494845360824,0.993127147766323,0.9933333333333333,0.6609353669444052,True,0.1390202499460429,14,True,1560.0
