problem,candidate_vertex_graph1,revealed_vertex_graph2,baseline_h0_accuracy,baseline_final_unseeded_accuracy,outcome_h0_accuracy,outcome_final_unseeded_accuracy,outcome_final_all_accuracy,outcome_accuracy_improvement,outcome_success,sgm_runtime_seconds,sgm_n_iter,sgm_converged,sgm_objective_score
sparse_sbm,0,235,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.3642611683848797,0.38333333333333336,0.23069952454926326,False,0.2788065420463681,28,True,968.0
sparse_sbm,1,184,0.07534246575342465,0.13356164383561644,0.07560137457044673,0.19243986254295534,0.21666666666666667,0.05887821870733889,False,0.2397657090332359,22,True,874.0
sparse_sbm,2,297,0.07534246575342465,0.13356164383561644,0.06872852233676977,1.0,1.0,0.8664383561643836,True,0.20285912498366088,20,True,1670.0
sparse_sbm,3,5,0.07534246575342465,0.13356164383561644,0.08247422680412371,0.9656357388316151,0.9666666666666667,0.8320740949959987,True,0.2916227919049561,30,False,1616.0
sparse_sbm,4,217,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.25773195876288657,0.28,0.12417031492727013,False,0.23797133297193795,24,True,920.0
sparse_sbm,5,78,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.12371134020618557,0.15,-0.009850303629430873,False,0.2619130830280483,25,True,860.0
sparse_sbm,6,191,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.27835051546391754,0.3,0.1447888716283011,False,0.2920206669950858,30,False,908.0
sparse_sbm,7,110,0.07534246575342465,0.13356164383561644,0.08247422680412371,1.0,1.0,0.8664383561643836,True,0.16843233304098248,17,True,1670.0
sparse_sbm,8,115,0.07534246575342465,0.13356164383561644,0.06529209621993128,0.2646048109965636,0.2866666666666667,0.13104316716094713,False,0.2730585829121992,28,True,922.0
sparse_sbm,10,255,0.07534246575342465,0.13356164383561644,0.08934707903780069,1.0,1.0,0.8664383561643836,True,0.16108049999456853,16,True,1670.0
sparse_sbm,11,248,0.07534246575342465,0.13356164383561644,0.06529209621993128,1.0,1.0,0.8664383561643836,True,0.1605065839830786,16,True,1670.0
sparse_sbm,12,120,0.07534246575342465,0.13356164383561644,0.048109965635738834,0.10309278350515463,0.13,-0.03046886033046181,False,0.29610649996902794,30,False,850.0
sparse_sbm,13,86,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.12371134020618557,0.15,-0.009850303629430873,False,0.2537232090253383,26,True,842.0
sparse_sbm,14,146,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.1134020618556701,0.14,-0.020159581979946342,False,0.21589866699650884,20,True,872.0
sparse_sbm,15,140,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.13745704467353953,0.16333333333333333,0.0038954008379230853,False,0.22783945803530514,23,True,870.0
sparse_sbm,16,38,0.07534246575342465,0.13356164383561644,0.044673539518900345,0.10996563573883161,0.13666666666666666,-0.023596008096784832,False,0.2945781670277938,30,False,860.0
sparse_sbm,17,75,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.09278350515463918,0.12,-0.040778138680977266,False,0.18008137494325638,18,True,854.0
sparse_sbm,18,280,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.1134020618556701,0.14,-0.020159581979946342,False,0.1943065000232309,19,True,840.0
sparse_sbm,19,289,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.23711340206185566,0.26,0.10355175822623922,False,0.2987546670483425,30,False,918.0
sparse_sbm,20,250,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.140893470790378,0.16666666666666666,0.007331826954761561,False,0.2208404999691993,22,True,842.0
sparse_sbm,21,183,0.07534246575342465,0.13356164383561644,0.044673539518900345,0.06529209621993128,0.09333333333333334,-0.06826954761568517,False,0.2947060000151396,30,False,850.0
sparse_sbm,22,92,0.07534246575342465,0.13356164383561644,0.07903780068728522,1.0,1.0,0.8664383561643836,True,0.2344102079514414,24,True,1670.0
sparse_sbm,23,210,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.15120274914089346,0.17666666666666667,0.017641105305277016,False,0.29257062496617436,30,False,862.0
sparse_sbm,24,261,0.07534246575342465,0.13356164383561644,0.06529209621993128,0.1718213058419244,0.19666666666666666,0.038259662006307954,False,0.2897539590485394,30,False,864.0
sparse_sbm,25,28,0.07534246575342465,0.13356164383561644,0.06529209621993128,0.16151202749140894,0.18666666666666668,0.0279503836557925,False,0.2971576671116054,30,False,860.0
sparse_sbm,26,1,0.07534246575342465,0.13356164383561644,0.07903780068728522,0.2508591065292096,0.2733333333333333,0.11729746269359317,False,0.26881691603921354,27,True,898.0
sparse_sbm,27,63,0.07534246575342465,0.13356164383561644,0.0859106529209622,0.27491408934707906,0.2966666666666667,0.14135244551146262,False,0.29786658310331404,30,False,924.0
sparse_sbm,28,64,0.07534246575342465,0.13356164383561644,0.06529209621993128,0.18556701030927836,0.21,0.05200536647366191,False,0.20217662502545863,20,True,882.0
sparse_sbm,29,266,0.07534246575342465,0.13356164383561644,0.07903780068728522,1.0,1.0,0.8664383561643836,True,0.17290162504650652,17,True,1670.0
sparse_sbm,30,272,0.07534246575342465,0.13356164383561644,0.07560137457044673,1.0,1.0,0.8664383561643836,True,0.256682166014798,26,True,1670.0
sparse_sbm,31,243,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.17869415807560138,0.20333333333333334,0.04513251423998493,False,0.239504124969244,24,True,878.0
sparse_sbm,32,175,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.3161512027491409,0.33666666666666667,0.18258955891352444,False,0.2966479159658775,30,False,932.0
sparse_sbm,33,17,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.21305841924398625,0.23666666666666666,0.0794967754083698,False,0.296291625010781,30,False,870.0
sparse_sbm,34,127,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.18556701030927836,0.21,0.05200536647366191,False,0.3010857079643756,30,False,880.0
sparse_sbm,35,76,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.2508591065292096,0.2733333333333333,0.11729746269359317,False,0.29819004191085696,30,False,914.0
sparse_sbm,36,62,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.20618556701030927,0.23,0.07262392317469282,False,0.21339245792478323,21,True,866.0
sparse_sbm,38,201,0.07534246575342465,0.13356164383561644,0.08934707903780069,1.0,1.0,0.8664383561643836,True,0.18019858305342495,18,True,1670.0
sparse_sbm,39,157,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.3848797250859107,0.4033333333333333,0.2513180812502942,False,0.29317791701760143,30,False,968.0
sparse_sbm,40,125,0.07534246575342465,0.13356164383561644,0.07903780068728522,1.0,1.0,0.8664383561643836,True,0.28094641701318324,29,True,1670.0
sparse_sbm,41,273,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.140893470790378,0.16666666666666666,0.007331826954761561,False,0.23819479206576943,24,True,852.0
sparse_sbm,42,199,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.12714776632302405,0.15333333333333332,-0.0064138775125923975,False,0.2536029580514878,25,True,848.0
sparse_sbm,43,69,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.25773195876288657,0.28,0.12417031492727013,False,0.29126683401409537,30,False,902.0
sparse_sbm,44,90,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.12714776632302405,0.15333333333333332,-0.0064138775125923975,False,0.29361995903309435,30,False,862.0
sparse_sbm,45,137,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.4742268041237113,0.49,0.3406651602880949,False,0.29211216699332,30,False,970.0
sparse_sbm,46,56,0.07534246575342465,0.13356164383561644,0.07560137457044673,0.47079037800687284,0.4866666666666667,0.33722873417125643,False,0.29859004192985594,30,False,1020.0
sparse_sbm,47,246,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.18900343642611683,0.21333333333333335,0.05544179259050039,False,0.29875641700346023,30,False,888.0
sparse_sbm,48,4,0.07534246575342465,0.13356164383561644,0.06872852233676977,1.0,1.0,0.8664383561643836,True,0.2936105841072276,30,False,1670.0
sparse_sbm,49,95,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.6013745704467354,0.6133333333333333,0.46781292661111895,False,0.2980642499169335,30,False,1116.0
sparse_sbm,50,205,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.15807560137457044,0.18333333333333332,0.024513957538953995,False,0.29320462502073497,30,False,874.0
sparse_sbm,51,172,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.17525773195876287,0.2,0.04169608812314643,False,0.22196100000292063,22,True,858.0
sparse_sbm,52,237,0.07534246575342465,0.13356164383561644,0.07560137457044673,0.993127147766323,0.9933333333333333,0.8595655039307066,True,0.24289066600613296,24,True,1666.0
sparse_sbm,53,129,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.1718213058419244,0.19666666666666666,0.038259662006307954,False,0.29770929098594934,30,False,868.0
sparse_sbm,54,72,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.14432989690721648,0.17,0.010768253071600037,False,0.2918502080719918,30,False,862.0
sparse_sbm,55,211,0.07534246575342465,0.13356164383561644,0.061855670103092786,1.0,1.0,0.8664383561643836,True,0.2739516249857843,28,True,1670.0
sparse_sbm,56,293,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.2611683848797251,0.2833333333333333,0.12760674104410866,False,0.29220145801082253,30,False,902.0
sparse_sbm,57,138,0.07534246575342465,0.13356164383561644,0.07560137457044673,0.10652920962199312,0.13333333333333333,-0.02703243421362332,False,0.1643149999435991,16,True,838.0
sparse_sbm,58,158,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.16494845360824742,0.19,0.031386809772630975,False,0.20337358303368092,20,True,856.0
sparse_sbm,59,188,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.35738831615120276,0.37666666666666665,0.2238266723155863,False,0.2604192919097841,26,True,966.0
sparse_sbm,60,228,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.27491408934707906,0.2966666666666667,0.14135244551146262,False,0.2943084160797298,30,False,894.0
sparse_sbm,61,15,0.07534246575342465,0.13356164383561644,0.07216494845360824,1.0,1.0,0.8664383561643836,True,0.2713546250015497,28,True,1670.0
sparse_sbm,62,178,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.10309278350515463,0.13,-0.03046886033046181,False,0.2911539579508826,30,False,878.0
sparse_sbm,63,97,0.07534246575342465,0.13356164383561644,0.06529209621993128,0.3127147766323024,0.3333333333333333,0.17915313279668596,False,0.29437579109799117,30,False,924.0
sparse_sbm,64,231,0.07534246575342465,0.13356164383561644,0.07903780068728522,0.9037800687285223,0.9066666666666666,0.7702184248929059,True,0.2970491249579936,30,False,1498.0
sparse_sbm,65,192,0.07534246575342465,0.13356164383561644,0.08247422680412371,0.24054982817869416,0.2633333333333333,0.10698818434307772,False,0.23186537506990135,23,True,890.0
sparse_sbm,66,33,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.17525773195876287,0.2,0.04169608812314643,False,0.2956261249491945,30,False,878.0
sparse_sbm,67,225,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.16838487972508592,0.19333333333333333,0.03482323588946948,False,0.29526145791169256,30,False,858.0
sparse_sbm,68,209,0.07534246575342465,0.13356164383561644,0.08247422680412371,1.0,1.0,0.8664383561643836,True,0.2916431250050664,30,False,1670.0
sparse_sbm,69,84,0.07534246575342465,0.13356164383561644,0.08247422680412371,1.0,1.0,0.8664383561643836,True,0.1714524159906432,17,True,1670.0
sparse_sbm,70,29,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.07903780068728522,0.10666666666666667,-0.054523843148331225,False,0.2951561249792576,30,False,856.0
sparse_sbm,71,284,0.07534246575342465,0.13356164383561644,0.05154639175257732,0.13058419243986255,0.15666666666666668,-0.002977451395753894,False,0.2947238340275362,30,False,870.0
sparse_sbm,72,161,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.8178694158075601,0.8233333333333334,0.6843077719719437,False,0.2930716669652611,30,False,1334.0
sparse_sbm,74,227,0.07534246575342465,0.13356164383561644,0.07216494845360824,0.17869415807560138,0.20333333333333334,0.04513251423998493,False,0.2369557919446379,24,True,888.0
sparse_sbm,75,42,0.07534246575342465,0.13356164383561644,0.061855670103092786,1.0,1.0,0.8664383561643836,True,0.2861466669710353,29,True,1670.0
sparse_sbm,76,252,0.07534246575342465,0.13356164383561644,0.048109965635738834,0.12714776632302405,0.15333333333333332,-0.0064138775125923975,False,0.300342540955171,30,False,866.0
sparse_sbm,77,131,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.15120274914089346,0.17666666666666667,0.017641105305277016,False,0.2796332909492776,28,True,892.0
sparse_sbm,78,260,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.09278350515463918,0.12,-0.040778138680977266,False,0.2217790000140667,22,True,860.0
sparse_sbm,79,258,0.07534246575342465,0.13356164383561644,0.041237113402061855,0.09621993127147767,0.12333333333333334,-0.037341712564138776,False,0.26103629101999104,26,True,860.0
sparse_sbm,80,299,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.2508591065292096,0.2733333333333333,0.11729746269359317,False,0.26501145795919,27,True,918.0
sparse_sbm,81,186,0.07534246575342465,0.13356164383561644,0.06529209621993128,1.0,1.0,0.8664383561643836,True,0.2088542910059914,21,True,1670.0
sparse_sbm,82,53,0.07534246575342465,0.13356164383561644,0.054982817869415807,0.18556701030927836,0.21,0.05200536647366191,False,0.18197925004642457,18,True,880.0
sparse_sbm,83,254,0.07534246575342465,0.13356164383561644,0.08247422680412371,1.0,1.0,0.8664383561643836,True,0.16073166695423424,16,True,1670.0
sparse_sbm,84,298,0.07534246575342465,0.13356164383561644,0.07216494845360824,1.0,1.0,0.8664383561643836,True,0.16110641707200557,16,True,1670.0
sparse_sbm,85,24,0.07534246575342465,0.13356164383561644,0.07903780068728522,0.23367697594501718,0.25666666666666665,0.10011533210940074,False,0.2953714170726016,30,False,898.0
sparse_sbm,86,219,0.07534246575342465,0.13356164383561644,0.061855670103092786,0.22336769759450173,0.24666666666666667,0.08980605375888528,False,0.2977323749801144,30,False,906.0
sparse_sbm,87,71,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.21649484536082475,0.24,0.0829332015252083,False,0.29486545897088945,30,False,908.0
sparse_sbm,88,181,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.36769759450171824,0.38666666666666666,0.2341359506661018,False,0.3013642498990521,30,False,954.0
sparse_sbm,89,249,0.07534246575342465,0.13356164383561644,0.06872852233676977,0.26804123711340205,0.29,0.1344795932777856,False,0.29929270897991955,30,False,912.0
sparse_sbm,90,121,0.07534246575342465,0.13356164383561644,0.058419243986254296,0.13058419243986255,0.15666666666666668,-0.002977451395753894,False,0.2668617080198601,27,True,868.0
sparse_sbm,91,39,0.07534246575342465,0.13356164383561644,0.044673539518900345,0.12714776632302405,0.15333333333333332,-0.0064138775125923975,False,0.2944392079953104,30,False,836.0
sparse_sbm,92,2,0.07534246575342465,0.13356164383561644,0.07560137457044673,1.0,1.0,0.8664383561643836,True,0.1800204999744892,18,True,1670.0
sparse_sbm,93,223,0.07534246575342465,0.13356164383561644,0.07903780068728522,1.0,1.0,0.8664383561643836,True,0.2325204589869827,23,True,1670.0
