problem,candidate_vertex_graph1,revealed_vertex_graph2,baseline_h0_accuracy,baseline_final_unseeded_accuracy,outcome_h0_accuracy,outcome_final_unseeded_accuracy,outcome_final_all_accuracy,outcome_accuracy_improvement,outcome_success,sgm_runtime_seconds,sgm_n_iter,sgm_converged,sgm_objective_score
paper,0,32,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.26498741598334163,29,True,1252.0
paper,1,103,0.08391608391608392,0.4090909090909091,0.11228070175438597,0.9824561403508771,0.9833333333333333,0.573365231259968,True,0.27283466700464487,30,False,1252.0
paper,2,107,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.9789473684210527,0.98,0.5698564593301436,True,0.27482270903419703,30,False,1252.0
paper,3,90,0.08391608391608392,0.4090909090909091,0.08421052631578947,0.24561403508771928,0.2833333333333333,-0.16347687400318983,False,0.1893346670549363,20,True,796.0
paper,4,123,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9719298245614035,0.9733333333333334,0.5628389154704945,True,0.2734487500274554,30,False,1248.0
paper,5,63,0.08391608391608392,0.4090909090909091,0.09473684210526316,0.41754385964912283,0.44666666666666666,0.008452950558213712,False,0.27490145806223154,30,False,900.0
paper,6,220,0.08391608391608392,0.4090909090909091,0.10877192982456141,0.7614035087719299,0.7733333333333333,0.35231259968102074,False,0.2788695830386132,30,False,1070.0
paper,7,245,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.3263157894736842,0.36,-0.08277511961722489,False,0.2591104171006009,28,True,858.0
paper,8,115,0.08391608391608392,0.4090909090909091,0.08421052631578947,0.6385964912280702,0.6566666666666666,0.22950558213716105,False,0.27413579204585403,30,False,1004.0
paper,9,5,0.08391608391608392,0.4090909090909091,0.0912280701754386,0.41403508771929826,0.44333333333333336,0.00494417862838914,False,0.2500645420514047,27,True,888.0
paper,11,209,0.08391608391608392,0.4090909090909091,0.08070175438596491,0.3333333333333333,0.36666666666666664,-0.0757575757575758,False,0.2785424169851467,30,False,842.0
paper,12,50,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.38596491228070173,0.4166666666666667,-0.023125996810207383,False,0.25609116698615253,28,True,860.0
paper,13,44,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.23913524998351932,26,True,1252.0
paper,14,0,0.08391608391608392,0.4090909090909091,0.11578947368421053,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.1666188749950379,18,True,1252.0
paper,15,256,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.25263157894736843,0.29,-0.1564593301435407,False,0.24343562498688698,26,True,804.0
paper,16,260,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.8245614035087719,0.8333333333333334,0.4154704944178628,False,0.27421508310362697,30,False,1098.0
paper,17,146,0.08391608391608392,0.4090909090909091,0.09473684210526316,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.22135795804206282,24,True,1252.0
paper,18,3,0.08391608391608392,0.4090909090909091,0.0912280701754386,0.3508771929824561,0.38333333333333336,-0.058213716108452995,False,0.2777755829738453,30,False,864.0
paper,19,92,0.08391608391608392,0.4090909090909091,0.12982456140350876,0.9789473684210527,0.98,0.5698564593301436,True,0.19208166701719165,21,True,1252.0
paper,20,73,0.08391608391608392,0.4090909090909091,0.08070175438596491,0.9824561403508771,0.9833333333333333,0.573365231259968,True,0.27393891697283834,30,False,1252.0
